n_particles,runtime_s,throughput_ps,n_accepted,acceptance_rate,steps_mean,steps_std
10000,0.000779,12838338.4,445,0.044500,1.00,0.00
10000,0.000860,11632411.2,416,0.041600,1.00,0.00
10000,0.000863,11592522.8,469,0.046900,1.00,0.00
100000,0.006430,15551997.9,4384,0.043840,1.00,0.00
100000,0.005542,18043483.7,4374,0.043740,1.00,0.00
100000,0.005191,19264419.0,4411,0.044110,1.00,0.00
1000000,0.053126,18823071.6,43749,0.043749,1.00,0.00
1000000,0.052999,18868221.4,43826,0.043826,1.00,0.00
1000000,0.052918,18897250.9,44147,0.044147,1.00,0.00
10000,0.000815,12272453.4,445,0.044500,1.00,0.00
10000,0.000703,14227280.8,416,0.041600,1.00,0.00
10000,0.000702,14240774.5,469,0.046900,1.00,0.00
100000,0.006003,16658220.9,4384,0.043840,1.00,0.00
100000,0.005273,18964234.2,4374,0.043740,1.00,0.00
100000,0.005230,19120762.3,4411,0.044110,1.00,0.00
1000000,0.052027,19220850.5,43749,0.043749,1.00,0.00
1000000,0.051879,19275715.0,43826,0.043826,1.00,0.00
1000000,0.051874,19277387.1,44147,0.044147,1.00,0.00
100000,0.008218,12168903.9,42238,0.422380,1.00,0.00
100000,0.007839,12757474.5,21842,0.218420,1.00,0.00
100000,0.005166,19355774.0,4384,0.043840,1.00,0.00
100000,0.005001,19997000.4,2197,0.021970,1.00,0.00
10000,0.000947,10555014.3,445,0.044500,1.00,0.00
