n_particles,runtime_s,throughput_ps,n_accepted,acceptance_rate,steps_mean,steps_std
10000,0.208681,47920.0,228,0.022800,63.71,44.56
100000,2.086775,47920.8,2238,0.022380,64.11,44.90
10000,0.205516,48658.0,228,0.022800,63.71,44.56
10000,0.206861,48341.6,239,0.023900,63.43,44.54
10000,0.205111,48754.1,209,0.020900,64.09,44.91
100000,2.200417,45445.9,2238,0.022380,64.11,44.90
100000,2.075208,48187.9,2245,0.022450,63.94,44.68
100000,2.075139,48189.5,2118,0.021180,64.10,44.92
1000000,21.364613,46806.4,22082,0.022082,64.21,44.88
1000000,21.217686,47130.5,22043,0.022043,64.24,44.90
1000000,20.883033,47885.8,21974,0.021974,64.18,44.88
1000,0.022191,45064.1,23,0.023000,61.05,42.42
