beta,gamma
0.32903173,0.10627405
0.36216812,0.11272502
0.29698030,0.08458825
0.38850672,0.08635114
0.32332090,0.09149410
0.41111754,0.09574815
0.35473697,0.13224939
0.40247456,0.09349684
0.38968950,0.08816693
0.47594926,0.15153657
0.34756221,0.10932695
0.31096188,0.08791180
0.33120937,0.09221804
0.47746104,0.16084697
0.40058859,0.11557236
0.37278045,0.12699491
0.34294419,0.11333391
0.38029760,0.10425017
0.41844190,0.12105351
0.38213926,0.09560790
0.38759811,0.07634966
0.49972483,0.17547083
0.38336104,0.12016676
0.48146230,0.15857675
0.43112431,0.09668101
0.40362052,0.14241366
0.36850300,0.09413131
0.49417932,0.09511446
0.39864257,0.08720546
0.50273482,0.14600786
0.32296302,0.07796432
0.36276748,0.10966250
0.46760679,0.12092214
0.38995523,0.10580923
0.37171817,0.08374658
0.43801608,0.10238695
0.63619667,0.15854413
0.49431876,0.15036821
0.37347501,0.09460066
0.39508580,0.12380596
0.49467964,0.10071920
0.25572811,0.06330425
0.46937002,0.12947636
0.43068681,0.09883757
0.34394231,0.07065951
0.31245767,0.09699047
0.48331147,0.11751327
0.43072431,0.09988088
0.47651362,0.15671236
0.47497429,0.12754473
0.48219832,0.11632885
0.51813791,0.16110336
0.33013550,0.09364128
0.44394455,0.13395977
0.51068276,0.13833601
0.44547215,0.13025863
0.39818097,0.12702813
0.57833983,0.16186818
0.35523160,0.10966861
0.39310895,0.10983784
0.48194807,0.13706485
0.39524773,0.10897110
0.44498434,0.09067531
0.39444703,0.10727059
0.44535487,0.09583682
0.43057905,0.12840615
0.43519434,0.12056261
0.43264900,0.11059411
0.40197581,0.12929605
0.32503688,0.08716051
0.47079300,0.12167414
0.33549717,0.09519330
0.36721630,0.09317181
0.44147739,0.09902697
0.31467945,0.07980402
0.42648637,0.10206416
0.36907307,0.11217003
0.33157987,0.10837882
0.46519088,0.12794727
0.37768451,0.11630680
0.38807579,0.11764942
0.55068779,0.17690917
0.43467144,0.12872849
0.38778596,0.12168190
0.37802609,0.09580477
0.46305771,0.13640258
0.41201035,0.13539686
0.43815687,0.11048554
0.46505906,0.11393821
0.41006355,0.10787319
0.46742863,0.13492023
0.43962231,0.13140204
0.39677497,0.11824925
0.52673589,0.13267509
0.36724322,0.08368674
0.41111218,0.11384227
0.43864468,0.14306455
0.34446356,0.08342407
0.52557129,0.13434905
0.37397529,0.09874774
0.42664976,0.13131752
0.42728645,0.10493414
0.38393227,0.12193493
0.42687933,0.14642752
0.33908805,0.12352972
0.42537326,0.11250424
0.29439077,0.08788952
0.48814557,0.11853671
0.56638504,0.14613217
0.52158896,0.11612491
