n_particles,runtime_s,throughput_ps,n_accepted,acceptance_rate,steps_mean,steps_std
10000,0.214433,46634.5,228,0.022800,160.00,0.00
10000,0.219633,45530.6,228,0.022800,160.00,0.00
10000,0.212224,47119.9,239,0.023900,160.00,0.00
10000,0.213926,46745.2,209,0.020900,160.00,0.00
100000,2.134906,46840.5,2238,0.022380,160.00,0.00
100000,2.138860,46753.9,2245,0.022450,160.00,0.00
100000,2.178985,45892.9,2118,0.021180,160.00,0.00
1000000,21.403863,46720.5,22082,0.022082,160.00,0.00
1000000,21.261006,47034.5,22043,0.022043,160.00,0.00
1000000,21.463146,46591.5,21974,0.021974,160.00,0.00
